Ano de eleição,Município,UF,Região,Nome candidato,Votos válidos,Votos nominais,Estado_Municipio,Código SUS,Cobertura Vacinal 2015,Cobertura Vacinal 2016,Cobertura Vacinal 2017,Cobertura Vacinal 2018,Cobertura Vacinal 2019,Cobertura Vacinal 2020,Cobertura Vacinal 2021,Cobertura Vacinal 2022
2018,OLHO D'AGUA DAS FLORES,AL,NORDESTE,FERNANDO HADDAD,10239,7149,AL-OLHO D'AGUA DAS FLORES,270570,95.55,94.04,123.85,103.78,89.81,19.28,45.8,102.8
2018,OLHO D'AGUA DO CASADO,AL,NORDESTE,FERNANDO HADDAD,4813,4494,AL-OLHO D'AGUA DO CASADO,270580,72.08,87.94,80.14,100.89,42.34,86.86,96.18,76.87
2018,OLHO D'AGUA GRANDE,AL,NORDESTE,FERNANDO HADDAD,3061,2687,AL-OLHO D'AGUA GRANDE,270590,34.57,15.38,80.22,115.0,100.0,24.32,23.6,79.1
2018,OLIVENCA,AL,NORDESTE,FERNANDO HADDAD,6136,5134,AL-OLIVENCA,270600,56.74,91.94,134.95,119.23,89.44,150.56,100.0,148.35
2018,OURO BRANCO,AL,NORDESTE,FERNANDO HADDAD,5984,5156,AL-OURO BRANCO,270610,63.33,110.39,117.53,119.53,103.76,65.59,109.71,85.64
2018,PALESTINA,AL,NORDESTE,FERNANDO HADDAD,2719,2291,AL-PALESTINA,270620,72.34,98.8,109.64,103.8,93.98,26.51,7.79,103.85
2018,PALMEIRA DOS INDIOS,AL,NORDESTE,FERNANDO HADDAD,34236,23153,AL-PALMEIRA DOS INDIOS,270630,103.51,231.21,123.14,211.55,103.22,85.09,87.92,114.4
2018,PARICONHA,AL,NORDESTE,FERNANDO HADDAD,6151,5777,AL-PARICONHA,270642,67.24,66.12,73.22,85.45,67.53,22.08,27.93,106.29
2018,PARIPUEIRA,AL,NORDESTE,JAIR MESSIAS BOLSONARO,6718,3554,AL-PARIPUEIRA,270644,79.23,120.57,125.84,109.24,86.7,45.06,47.0,64.46
2018,PASSO DE CAMARAGIBE,AL,NORDESTE,FERNANDO HADDAD,7182,4712,AL-PASSO DE CAMARAGIBE,270650,74.8,88.05,143.81,95.79,79.48,70.74,73.47,99.04
2018,PAULO JACINTO,AL,NORDESTE,FERNANDO HADDAD,3954,2868,AL-PAULO JACINTO,270660,95.31,112.38,126.67,132.61,77.08,62.5,125.64,136.05
2018,PENEDO,AL,NORDESTE,FERNANDO HADDAD,26519,17029,AL-PENEDO,270670,79.26,108.65,100.0,102.19,109.26,100.61,80.6,99.25
2018,PIACABUCU,AL,NORDESTE,FERNANDO HADDAD,8376,6070,AL-PIACABUCU,270680,63.46,76.76,120.77,112.42,72.7,40.46,48.84,95.31
2018,PILAR,AL,NORDESTE,FERNANDO HADDAD,17776,9463,AL-PILAR,270690,91.26,99.83,101.71,100.35,92.18,97.34,98.7,80.7
2018,PINDOBA,AL,NORDESTE,FERNANDO HADDAD,1685,1210,AL-PINDOBA,270700,106.67,113.04,91.3,128.57,116.67,173.33,36.0,97.22
2018,PIRANHAS,AL,NORDESTE,FERNANDO HADDAD,12502,11252,AL-PIRANHAS,270710,98.08,71.69,85.84,124.71,85.9,52.93,48.95,102.88
2018,PORTO CALVO,AL,NORDESTE,FERNANDO HADDAD,11932,5982,AL-PORTO CALVO,270730,95.75,96.32,87.13,94.47,89.01,33.18,17.83,77.16
2018,PORTO DE PEDRAS,AL,NORDESTE,FERNANDO HADDAD,4050,2367,AL-PORTO DE PEDRAS,270740,85.16,97.22,145.37,125.2,107.87,77.17,90.73,125.56
2018,PORTO REAL DO COLEGIO,AL,NORDESTE,FERNANDO HADDAD,10725,8966,AL-PORTO REAL DO COLEGIO,270750,103.22,81.47,74.71,108.12,113.91,46.24,43.86,60.0
2018,POCO DAS TRINCHEIRAS,AL,NORDESTE,FERNANDO HADDAD,6851,6226,AL-POCO DAS TRINCHEIRAS,270720,81.78,98.52,89.16,85.39,63.29,9.66,35.71,64.71
2018,PAO DE ACUCAR,AL,NORDESTE,FERNANDO HADDAD,11657,9356,AL-PAO DE ACUCAR,270640,101.15,62.72,90.4,98.8,89.3,103.39,103.97,114.16
2018,QUEBRANGULO,AL,NORDESTE,FERNANDO HADDAD,6482,5053,AL-QUEBRANGULO,270760,59.64,63.09,78.11,65.99,93.55,56.99,86.81,83.58
2018,RIO LARGO,AL,NORDESTE,FERNANDO HADDAD,39386,19803,AL-RIO LARGO,270770,146.1,103.57,128.49,112.39,109.28,61.98,96.17,127.42
2018,ROTEIRO,AL,NORDESTE,FERNANDO HADDAD,3285,2183,AL-ROTEIRO,270780,121.88,97.76,100.75,105.31,90.37,138.52,106.06,95.28
2018,SANTA LUZIA DO NORTE,AL,NORDESTE,FERNANDO HADDAD,4221,2586,AL-SANTA LUZIA DO NORTE,270790,90.29,81.03,77.59,117.48,71.9,80.99,111.93,165.25
2018,SANTANA DO IPANEMA,AL,NORDESTE,FERNANDO HADDAD,22103,17425,AL-SANTANA DO IPANEMA,270800,121.91,84.82,144.0,180.11,138.69,102.01,91.34,148.86
2018,SANTANA DO MUNDAU,AL,NORDESTE,FERNANDO HADDAD,5834,4729,AL-SANTANA DO MUNDAU,270810,108.48,126.95,93.41,122.11,103.89,77.78,98.01,104.07
2018,SATUBA,AL,NORDESTE,JAIR MESSIAS BOLSONARO,7212,3681,AL-SATUBA,270890,108.64,106.7,132.4,139.3,55.8,16.61,26.52,50.89
2018,SENADOR RUI PALMEIRA,AL,NORDESTE,FERNANDO HADDAD,6063,5287,AL-SENADOR RUI PALMEIRA,270895,93.72,118.22,118.22,110.05,83.5,65.5,52.68,123.16
2018,SAO BRAS,AL,NORDESTE,FERNANDO HADDAD,3982,3103,AL-SAO BRAS,270820,91.43,71.43,80.45,107.45,90.38,51.92,68.97,78.82
2018,SAO JOSE DA LAJE,AL,NORDESTE,FERNANDO HADDAD,11395,7192,AL-SAO JOSE DA LAJE,270830,70.92,97.5,131.25,120.35,77.78,77.27,93.04,103.97
2018,SAO JOSE DA TAPERA,AL,NORDESTE,FERNANDO HADDAD,14108,12282,AL-SAO JOSE DA TAPERA,270840,100.67,94.7,100.18,105.98,74.86,57.06,30.69,131.95
2018,SAO LUIS DO QUITUNDE,AL,NORDESTE,FERNANDO HADDAD,14019,8142,AL-SAO LUIS DO QUITUNDE,270850,74.96,110.46,94.6,98.75,83.08,65.81,67.75,95.8
2018,SAO MIGUEL DOS CAMPOS,AL,NORDESTE,JAIR MESSIAS BOLSONARO,26921,13765,AL-SAO MIGUEL DOS CAMPOS,270860,117.09,99.39,116.8,139.56,144.67,91.87,48.25,84.48
2018,SAO MIGUEL DOS MILAGRES,AL,NORDESTE,FERNANDO HADDAD,4114,2093,AL-SAO MIGUEL DOS MILAGRES,270870,77.78,207.79,235.06,160.87,50.76,79.55,83.82,101.38
2018,SAO SEBASTIAO,AL,NORDESTE,FERNANDO HADDAD,17060,13577,AL-SAO SEBASTIAO,270880,101.68,47.58,79.3,96.77,90.3,10.55,49.4,78.27
2018,TANQUE D'ARCA,AL,NORDESTE,FERNANDO HADDAD,3491,2987,AL-TANQUE D'ARCA,270900,70.24,73.63,75.82,92.75,76.62,27.27,98.41,91.43
2018,TAQUARANA,AL,NORDESTE,FERNANDO HADDAD,9327,7341,AL-TAQUARANA,270910,57.23,62.0,133.33,152.75,108.01,39.72,27.48,116.01
2018,TEOTONIO VILELA,AL,NORDESTE,FERNANDO HADDAD,18794,12110,AL-TEOTONIO VILELA,270915,102.12,96.83,130.12,109.45,95.57,110.98,92.45,130.02
2018,TRAIPU,AL,NORDESTE,FERNANDO HADDAD,11166,9658,AL-TRAIPU,270920,59.95,68.82,88.53,108.94,54.63,23.32,22.35,98.81
2018,UNIAO DOS PALMARES,AL,NORDESTE,FERNANDO HADDAD,29871,19928,AL-UNIAO DOS PALMARES,270930,128.56,61.66,94.56,171.9,96.24,95.77,108.25,135.72
2018,VICOSA,AL,NORDESTE,FERNANDO HADDAD,13077,8972,AL-VICOSA,270940,87.25,102.64,111.51,87.1,99.04,75.6,87.01,55.32
2018,AGUA BRANCA,AL,NORDESTE,FERNANDO HADDAD,10332,9520,AL-AGUA BRANCA,270010,68.45,77.98,94.95,107.91,81.07,47.93,87.31,173.9
2018,ALVARAES,AM,NORTE,FERNANDO HADDAD,6675,5295,AM-ALVARAES,130002,106.18,92.48,96.73,84.47,104.49,94.76,88.04,66.75
2018,AMATURA,AM,NORTE,FERNANDO HADDAD,4246,3400,AM-AMATURA,130006,126.82,101.14,98.86,86.79,102.25,100.0,101.51,142.64
2018,ANAMA,AM,NORTE,FERNANDO HADDAD,5848,4077,AM-ANAMA,130008,70.94,63.03,69.67,85.64,83.67,122.45,73.68,107.89
2018,ANORI,AM,NORTE,FERNANDO HADDAD,5934,3681,AM-ANORI,130010,49.47,100.8,111.6,71.59,71.98,100.0,80.26,76.74
2018,APUI,AM,NORTE,JAIR MESSIAS BOLSONARO,6264,3218,AM-APUI,130014,130.04,91.48,116.14,126.54,93.13,57.94,19.25,133.58
2018,ATALAIA DO NORTE,AM,NORTE,FERNANDO HADDAD,4871,4020,AM-ATALAIA DO NORTE,130020,164.49,89.15,94.23,95.21,65.18,62.3,30.35,86.43
2018,AUTAZES,AM,NORTE,FERNANDO HADDAD,16916,12407,AM-AUTAZES,130030,89.04,50.0,118.8,103.6,111.59,80.82,87.39,83.22
2018,BARCELOS,AM,NORTE,FERNANDO HADDAD,5521,3608,AM-BARCELOS,130040,65.14,73.48,97.98,77.0,71.95,47.33,41.55,42.05
2018,BARREIRINHA,AM,NORTE,FERNANDO HADDAD,12647,11611,AM-BARREIRINHA,130050,95.69,72.01,81.97,72.98,53.91,67.36,61.84,56.97
2018,BENJAMIN CONSTANT,AM,NORTE,FERNANDO HADDAD,14301,12275,AM-BENJAMIN CONSTANT,130060,127.84,70.71,90.02,105.23,141.0,87.01,37.28,22.87
2018,BERURI,AM,NORTE,FERNANDO HADDAD,7501,5670,AM-BERURI,130063,96.4,82.4,94.62,82.61,65.33,55.95,56.38,95.88
2018,BOA VISTA DO RAMOS,AM,NORTE,FERNANDO HADDAD,7474,6666,AM-BOA VISTA DO RAMOS,130068,136.88,99.38,89.54,94.87,81.82,98.75,86.97,122.74
2018,BOCA DO ACRE,AM,NORTE,FERNANDO HADDAD,12911,6782,AM-BOCA DO ACRE,130070,107.74,75.82,73.22,87.44,65.37,81.58,45.38,60.72
2018,BORBA,AM,NORTE,FERNANDO HADDAD,12965,10727,AM-BORBA,130080,98.43,100.85,109.31,106.66,81.05,66.62,112.58,125.45
2018,CAAPIRANGA,AM,NORTE,FERNANDO HADDAD,4836,3449,AM-CAAPIRANGA,130083,59.61,68.47,56.65,53.55,63.43,69.91,100.59,94.61
2018,CANUTAMA,AM,NORTE,FERNANDO HADDAD,5050,3359,AM-CANUTAMA,130090,132.31,94.81,82.25,86.64,104.19,95.81,102.08,70.56
2018,CARAUARI,AM,NORTE,FERNANDO HADDAD,11987,9617,AM-CARAUARI,130100,73.23,110.8,87.19,102.26,97.28,154.47,118.74,69.4
2018,CAREIRO,AM,NORTE,FERNANDO HADDAD,13624,9464,AM-CAREIRO,130110,32.32,33.81,45.63,46.44,44.14,62.89,70.21,88.32
2018,CAREIRO DA VARZEA,AM,NORTE,FERNANDO HADDAD,10034,7239,AM-CAREIRO DA VARZEA,130115,58.24,24.52,53.85,74.37,19.83,35.02,41.92,49.47
2018,COARI,AM,NORTE,FERNANDO HADDAD,31089,21399,AM-COARI,130120,93.36,87.65,93.06,102.98,94.81,76.33,89.63,81.7
2018,CODAJAS,AM,NORTE,FERNANDO HADDAD,8499,5455,AM-CODAJAS,130130,111.29,99.29,100.47,107.18,99.32,117.77,69.02,163.29
2018,EIRUNEPE,AM,NORTE,FERNANDO HADDAD,11973,8836,AM-EIRUNEPE,130140,92.01,67.41,54.66,109.67,78.69,74.59,66.67,79.22
2018,ENVIRA,AM,NORTE,FERNANDO HADDAD,6275,4870,AM-ENVIRA,130150,108.2,85.94,94.27,82.11,82.78,148.82,168.8,154.5
2018,FONTE BOA,AM,NORTE,FERNANDO HADDAD,9482,7837,AM-FONTE BOA,130160,106.83,77.28,84.41,93.16,64.92,78.1,72.02,86.15
