Ano de eleição;Município;UF;Região;Turno;Nome candidato;Cargo;Votos válidos;Votos nominais;Data de carga
2018;MARQUINHO;PR;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;2864;1062;2023-03-31 10:03:12
2018;IPIGUÁ;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;2806;632;2023-03-31 10:03:12
2018;MATO QUEIMADO;RS;SUL;2;FERNANDO HADDAD;Presidente;1224;569;2023-03-31 10:03:12
2018;CAAPIRANGA;AM;NORTE;2;AMAZONINO ARMANDO MENDES;Governador;4788;2845;2023-03-31 10:03:12
2018;CUIABÁ;MT;CENTRO-OESTE;2;FERNANDO HADDAD;Presidente;331758;109681;2023-03-31 10:03:12
2018;TERRA ROXA;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;4266;3060;2023-03-31 10:03:12
2018;NOSSA SENHORA DO SOCORRO;SE;NORDESTE;2;FERNANDO HADDAD;Presidente;74505;42414;2023-03-31 10:03:12
2018;SANTANA DA VARGEM;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;3795;752;2023-03-31 10:03:12
2018;AGUDO;RS;SUL;2;JOSÉ IVO SARTORI;Governador;9709;4066;2023-03-31 10:03:12
2018;SANTO ANTÔNIO DO AMPARO;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;7809;1879;2023-03-31 10:03:12
2018;CAPINÓPOLIS;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;7832;4143;2023-03-31 10:03:12
2018;PRESIDENTE BERNARDES;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;3246;2101;2023-03-31 10:03:12
2018;GUAÇUÍ;ES;SUDESTE;2;FERNANDO HADDAD;Presidente;14403;4887;2023-03-31 10:03:12
2018;PAULO DE FARIA;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;4084;2439;2023-03-31 10:03:12
2018;AVELINO LOPES;PI;NORDESTE;2;FERNANDO HADDAD;Presidente;6613;5444;2023-03-31 10:03:12
2018;SANTA RITA DO TRIVELATO;MT;CENTRO-OESTE;2;JAIR MESSIAS BOLSONARO;Presidente;1216;840;2023-03-31 10:03:12
2018;VARZELÂNDIA;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;9062;2285;2023-03-31 10:03:12
2018;SANTA VITÓRIA DO PALMAR;RS;SUL;2;FERNANDO HADDAD;Presidente;15647;8032;2023-03-31 10:03:12
2018;AVAÍ;SP;SUDESTE;2;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;Governador;2532;982;2023-03-31 10:03:12
2018;GLÓRIA DE DOURADOS;MS;CENTRO-OESTE;2;ODILON DE OLIVEIRA;Governador;5158;2964;2023-03-31 10:03:12
2018;PARAÍSO DO SUL;RS;SUL;2;FERNANDO HADDAD;Presidente;4251;1601;2023-03-31 10:03:12
2018;NEVES PAULISTA;SP;SUDESTE;2;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;Governador;4610;2721;2023-03-31 10:03:12
2018;PIEDADE DO RIO GRANDE;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;2161;497;2023-03-31 10:03:12
2018;INDIANÓPOLIS;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;2805;404;2023-03-31 10:03:12
2018;SÃO JOÃO DO ARAGUAIA;PA;NORTE;2;JAIR MESSIAS BOLSONARO;Presidente;6748;2376;2023-03-31 10:03:12
2018;SÃO GONÇALO DO ABAETÉ;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;3159;1629;2023-03-31 10:03:12
2018;BOA VISTA DA APARECIDA;PR;SUL;2;FERNANDO HADDAD;Presidente;4801;2348;2023-03-31 10:03:12
2018;GURUPÁ;PA;NORTE;2;MARCIO DESIDÉRIO TEIXEIRA MIRANDA;Governador;12048;6337;2023-03-31 10:03:12
2018;BALBINOS;SP;SUDESTE;2;FERNANDO HADDAD;Presidente;946;227;2023-03-31 10:03:12
2018;CAPÃO DO CIPÓ;RS;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;2037;943;2023-03-31 10:03:12
2018;ANITA GARIBALDI;SC;SUL;2;FERNANDO HADDAD;Presidente;5057;2473;2023-03-31 10:03:12
2018;CAPITÃO POÇO;PA;NORTE;2;JAIR MESSIAS BOLSONARO;Presidente;27345;9979;2023-03-31 10:03:12
2018;RIO PARDO DE MINAS;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;12241;7930;2023-03-31 10:03:12
2018;WESTFALIA;RS;SUL;2;JOSÉ IVO SARTORI;Governador;1995;1220;2023-03-31 10:03:12
2018;ALTAIR;SP;SUDESTE;2;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;Governador;1931;853;2023-03-31 10:03:12
2018;RUBIÁCEA;SP;SUDESTE;2;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;Governador;1486;700;2023-03-31 10:03:12
2018;MARMELÓPOLIS;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;1732;505;2023-03-31 10:03:12
2018;RIOZINHO;RS;SUL;2;EDUARDO FIGUEIREDO CAVALHEIRO LEITE;Governador;2874;1573;2023-03-31 10:03:12
2018;ASSUNÇÃO DO PIAUÍ;PI;NORDESTE;2;FERNANDO HADDAD;Presidente;4581;4053;2023-03-31 10:03:12
2018;TRAIRÃO;PA;NORTE;2;FERNANDO HADDAD;Presidente;6271;2456;2023-03-31 10:03:12
2018;BISSAU;ZZ;EXTERIOR;2;JAIR MESSIAS BOLSONARO;Presidente;27;14;2023-03-31 10:03:12
