Estado_Municipio,Região,UF,Município,Ano de eleição (2018),Nome candidato (2018),Votos válidos (2018),Votos nominais (2018),Ano de eleição (2022),Nome candidato (2022),Votos válidos (2022),Votos nominais (2022),Código SUS,Cobertura Vacinal 2015,Cobertura Vacinal 2016,Cobertura Vacinal 2017,Cobertura Vacinal 2018,Cobertura Vacinal 2019,Cobertura Vacinal 2020,Cobertura Vacinal 2021,Cobertura Vacinal 2022
MG-CARMO DA CACHOEIRA,SUDESTE,MG,CARMO DA CACHOEIRA,2018,FERNANDO HADDAD,5874,2953,2022,LUIZ INÁCIO LULA DA SILVA,6834,3788,311390,87.97,103.51,118.42,123.53,104.48,123.88,84.51,113.33
MG-CARMO DA MATA,SUDESTE,MG,CARMO DA MATA,2018,JAIR MESSIAS BOLSONARO,6492,3355,2022,LUIZ INÁCIO LULA DA SILVA,7432,4287,311400,67.39,15.53,56.31,67.86,35.11,47.87,51.06,66.98
MG-CARMO DE MINAS,SUDESTE,MG,CARMO DE MINAS,2018,JAIR MESSIAS BOLSONARO,6663,4023,2022,JAIR MESSIAS BOLSONARO,7475,3462,311410,96.82,103.92,103.92,104.52,83.44,61.15,97.06,84.87
MG-CARMO DO CAJURU,SUDESTE,MG,CARMO DO CAJURU,2018,JAIR MESSIAS BOLSONARO,12556,7762,2022,JAIR MESSIAS BOLSONARO,14537,6747,311420,119.03,81.72,62.72,24.21,41.6,87.4,87.72,85.51
MG-CARMO DO PARANAIBA,SUDESTE,MG,CARMO DO PARANAIBA,2018,JAIR MESSIAS BOLSONARO,14211,10525,2022,JAIR MESSIAS BOLSONARO,15820,9356,311430,99.71,36.1,95.13,89.62,86.88,71.72,64.17,68.87
MG-CARMO DO RIO CLARO,SUDESTE,MG,CARMO DO RIO CLARO,2018,JAIR MESSIAS BOLSONARO,10621,6785,2022,JAIR MESSIAS BOLSONARO,11812,6068,311440,102.0,90.91,86.36,105.7,109.69,96.43,78.67,71.5
MG-CARMOPOLIS DE MINAS,SUDESTE,MG,CARMOPOLIS DE MINAS,2018,JAIR MESSIAS BOLSONARO,8978,5254,2022,LUIZ INÁCIO LULA DA SILVA,10940,5274,311450,168.72,121.86,136.28,97.17,78.39,83.05,70.83,89.32
MG-CARNEIRINHO,SUDESTE,MG,CARNEIRINHO,2018,FERNANDO HADDAD,5494,2871,2022,LUIZ INÁCIO LULA DA SILVA,5939,3032,311455,145.74,82.05,104.27,122.55,92.31,77.88,79.8,77.91
MG-CARRANCAS,SUDESTE,MG,CARRANCAS,2018,JAIR MESSIAS BOLSONARO,2185,1098,2022,LUIZ INÁCIO LULA DA SILVA,2645,1375,311460,47.92,51.11,153.33,89.13,69.84,71.43,112.77,51.06
MG-CARVALHOPOLIS,SUDESTE,MG,CARVALHOPOLIS,2018,JAIR MESSIAS BOLSONARO,2273,1443,2022,JAIR MESSIAS BOLSONARO,2557,1344,311470,72.34,70.83,72.92,117.95,117.65,120.59,68.42,81.08
MG-CARVALHOS,SUDESTE,MG,CARVALHOS,2018,JAIR MESSIAS BOLSONARO,2465,1414,2022,LUIZ INÁCIO LULA DA SILVA,3018,1520,311480,95.45,111.11,138.89,82.5,92.0,68.0,88.37,52.5
MG-CASA GRANDE,SUDESTE,MG,CASA GRANDE,2018,JAIR MESSIAS BOLSONARO,1734,980,2022,JAIR MESSIAS BOLSONARO,2093,956,311490,0.0,0.0,61.9,110.0,70.0,25.0,11.11,100.0
MG-CASCALHO RICO,SUDESTE,MG,CASCALHO RICO,2018,JAIR MESSIAS BOLSONARO,2093,1215,2022,JAIR MESSIAS BOLSONARO,2596,1328,311500,96.15,5.71,77.14,52.94,71.88,12.5,13.89,13.33
MG-CASSIA,SUDESTE,MG,CASSIA,2018,JAIR MESSIAS BOLSONARO,8854,5214,2022,LUIZ INÁCIO LULA DA SILVA,9950,4609,311510,110.14,125.46,96.76,97.38,101.42,113.68,98.58,88.64
