Estado_Municipio,Região,UF,Município,Ano de eleição (2018),Nome candidato (2018),Votos válidos (2018),Votos nominais (2018),Ano de eleição (2022),Nome candidato (2022),Votos válidos (2022),Votos nominais (2022),Código SUS,Cobertura Vacinal 2015,Cobertura Vacinal 2016,Cobertura Vacinal 2017,Cobertura Vacinal 2018,Cobertura Vacinal 2019,Cobertura Vacinal 2020,Cobertura Vacinal 2021,Cobertura Vacinal 2022
MT-ALTO ARAGUAIA,CENTRO-OESTE,MT,ALTO ARAGUAIA,2018,JAIR MESSIAS BOLSONARO,7688,5001,2022,JAIR MESSIAS BOLSONARO,8668,5007,510030,69.06,96.08,113.33,125.9,112.73,73.18,56.32,103.55
MT-ALTO BOA VISTA,CENTRO-OESTE,MT,ALTO BOA VISTA,2018,JAIR MESSIAS BOLSONARO,2307,1735,2022,JAIR MESSIAS BOLSONARO,2885,2047,510035,94.44,140.48,42.86,37.04,69.44,33.33,71.6,105.49
MT-ALTO GARCAS,CENTRO-OESTE,MT,ALTO GARCAS,2018,JAIR MESSIAS BOLSONARO,4913,3183,2022,JAIR MESSIAS BOLSONARO,6038,3440,510040,105.88,67.09,68.35,132.87,146.77,66.13,46.98,49.65
MT-ALTO PARAGUAI,CENTRO-OESTE,MT,ALTO PARAGUAI,2018,FERNANDO HADDAD,4126,2412,2022,LUIZ INÁCIO LULA DA SILVA,4522,2648,510050,94.12,64.22,76.15,51.95,56.38,54.26,19.28,80.26
MT-ALTO TAQUARI,CENTRO-OESTE,MT,ALTO TAQUARI,2018,JAIR MESSIAS BOLSONARO,4336,3139,2022,JAIR MESSIAS BOLSONARO,5325,3302,510060,103.87,106.13,98.77,105.39,115.34,78.53,67.2,117.12
MT-APIACAS,CENTRO-OESTE,MT,APIACAS,2018,JAIR MESSIAS BOLSONARO,3437,2071,2022,JAIR MESSIAS BOLSONARO,4165,2417,510080,119.09,104.5,154.05,103.6,157.81,110.16,110.53,146.72
MT-ARAGUAIANA,CENTRO-OESTE,MT,ARAGUAIANA,2018,JAIR MESSIAS BOLSONARO,1867,1008,2022,LUIZ INÁCIO LULA DA SILVA,2300,1117,510100,59.18,102.78,94.44,117.24,84.21,100.0,153.12,123.26
MT-ARAGUAINHA,CENTRO-OESTE,MT,ARAGUAINHA,2018,JAIR MESSIAS BOLSONARO,625,329,2022,LUIZ INÁCIO LULA DA SILVA,814,465,510120,100.0,87.5,150.0,130.0,66.67,133.33,140.0,87.5
MT-ARAPUTANGA,CENTRO-OESTE,MT,ARAPUTANGA,2018,JAIR MESSIAS BOLSONARO,8032,5860,2022,JAIR MESSIAS BOLSONARO,8480,5617,510125,108.79,90.68,92.47,102.08,105.62,89.51,85.6,96.47
MT-ARENAPOLIS,CENTRO-OESTE,MT,ARENAPOLIS,2018,JAIR MESSIAS BOLSONARO,5095,3187,2022,JAIR MESSIAS BOLSONARO,5962,3221,510130,90.07,72.35,97.65,126.36,95.36,73.51,103.62,163.46
MT-ARIPUANA,CENTRO-OESTE,MT,ARIPUANA,2018,JAIR MESSIAS BOLSONARO,7473,5148,2022,JAIR MESSIAS BOLSONARO,9146,6510,510140,98.26,135.25,92.35,100.59,87.85,92.54,85.4,86.38
MT-BARAO DE MELGACO,CENTRO-OESTE,MT,BARAO DE MELGACO,2018,FERNANDO HADDAD,3843,2618,2022,LUIZ INÁCIO LULA DA SILVA,4897,3010,510160,50.0,27.59,41.38,85.48,85.53,61.84,63.77,83.93
MT-BARRA DO BUGRES,CENTRO-OESTE,MT,BARRA DO BUGRES,2018,JAIR MESSIAS BOLSONARO,15683,8047,2022,LUIZ INÁCIO LULA DA SILVA,17367,8475,510170,91.7,85.42,79.32,95.01,79.89,83.87,83.3,98.68
MT-BARRA DO GARCAS,CENTRO-OESTE,MT,BARRA DO GARCAS,2018,JAIR MESSIAS BOLSONARO,28586,18236,2022,JAIR MESSIAS BOLSONARO,33201,18492,510180,70.57,86.61,75.63,72.6,90.68,97.2,93.75,112.24
MT-BOM JESUS DO ARAGUAIA,CENTRO-OESTE,MT,BOM JESUS DO ARAGUAIA,2018,JAIR MESSIAS BOLSONARO,2844,1523,2022,JAIR MESSIAS BOLSONARO,3433,1960,510185,92.45,73.64,60.91,89.69,73.95,93.28,103.03,130.43
MT-BRASNORTE,CENTRO-OESTE,MT,BRASNORTE,2018,JAIR MESSIAS BOLSONARO,7468,5097,2022,JAIR MESSIAS BOLSONARO,8174,5632,510190,114.41,92.65,111.43,89.81,106.88,102.19,72.54,88.3
MT-CACERES,CENTRO-OESTE,MT,CACERES,2018,JAIR MESSIAS BOLSONARO,42215,22961,2022,LUIZ INÁCIO LULA DA SILVA,46454,21730,510250,98.15,94.48,98.77,102.01,95.15,83.85,82.86,79.56
MT-CAMPINAPOLIS,CENTRO-OESTE,MT,CAMPINAPOLIS,2018,FERNANDO HADDAD,6267,3739,2022,LUIZ INÁCIO LULA DA SILVA,7245,4094,510260,115.43,136.43,89.64,60.81,66.82,66.37,90.75,100.92
MT-CAMPO NOVO DO PARECIS,CENTRO-OESTE,MT,CAMPO NOVO DO PARECIS,2018,JAIR MESSIAS BOLSONARO,15062,10513,2022,JAIR MESSIAS BOLSONARO,19499,12526,510263,112.48,105.06,102.77,92.66,86.96,88.32,92.9,93.04
MT-CAMPO VERDE,CENTRO-OESTE,MT,CAMPO VERDE,2018,JAIR MESSIAS BOLSONARO,20416,14839,2022,JAIR MESSIAS BOLSONARO,23548,15196,510267,121.31,100.0,99.6,110.79,96.56,106.11,108.16,110.2
MT-CAMPOS DE JULIO,CENTRO-OESTE,MT,CAMPOS DE JULIO,2018,JAIR MESSIAS BOLSONARO,3002,2210,2022,JAIR MESSIAS BOLSONARO,3834,2602,510268,177.12,91.79,97.01,91.06,93.33,55.56,75.4,122.5
MT-CANABRAVA DO NORTE,CENTRO-OESTE,MT,CANABRAVA DO NORTE,2018,JAIR MESSIAS BOLSONARO,2394,1580,2022,JAIR MESSIAS BOLSONARO,2563,1641,510269,45.45,56.25,4.17,36.51,62.5,46.43,22.22,106.15
MT-CANARANA,CENTRO-OESTE,MT,CANARANA,2018,JAIR MESSIAS BOLSONARO,9738,7452,2022,JAIR MESSIAS BOLSONARO,11558,8650,510270,114.79,101.59,108.64,96.0,102.03,102.71,117.14,124.54
MT-CARLINDA,CENTRO-OESTE,MT,CARLINDA,2018,JAIR MESSIAS BOLSONARO,5035,2685,2022,JAIR MESSIAS BOLSONARO,5665,2980,510279,84.48,98.56,108.63,146.62,109.66,81.38,106.72,106.98
MT-CASTANHEIRA,CENTRO-OESTE,MT,CASTANHEIRA,2018,JAIR MESSIAS BOLSONARO,3886,2366,2022,JAIR MESSIAS BOLSONARO,4156,2559,510285,136.45,100.0,113.27,105.83,76.52,73.04,49.5,80.91
MT-CHAPADA DOS GUIMARAES,CENTRO-OESTE,MT,CHAPADA DOS GUIMARAES,2018,JAIR MESSIAS BOLSONARO,10529,5438,2022,LUIZ INÁCIO LULA DA SILVA,12558,6127,510300,52.74,35.8,39.69,82.24,59.42,72.83,67.92,107.22
MT-CLAUDIA,CENTRO-OESTE,MT,CLAUDIA,2018,JAIR MESSIAS BOLSONARO,5210,3850,2022,JAIR MESSIAS BOLSONARO,6162,4385,510305,109.77,65.75,106.16,64.08,74.07,88.89,64.96,95.56
MT-COCALINHO,CENTRO-OESTE,MT,COCALINHO,2018,JAIR MESSIAS BOLSONARO,2507,1333,2022,JAIR MESSIAS BOLSONARO,3179,1693,510310,123.08,64.13,55.43,91.53,83.33,115.0,80.95,120.29
MT-COLIDER,CENTRO-OESTE,MT,COLIDER,2018,JAIR MESSIAS BOLSONARO,15792,13051,2022,JAIR MESSIAS BOLSONARO,17540,13331,510320,130.04,101.69,97.37,110.75,85.15,111.55,98.36,104.26
MT-COLNIZA,CENTRO-OESTE,MT,COLNIZA,2018,JAIR MESSIAS BOLSONARO,11068,7570,2022,JAIR MESSIAS BOLSONARO,12178,8656,510325,98.17,69.18,89.36,112.95,70.9,80.14,104.17,46.07
MT-COMODORO,CENTRO-OESTE,MT,COMODORO,2018,JAIR MESSIAS BOLSONARO,8802,5947,2022,JAIR MESSIAS BOLSONARO,9793,6301,510330,94.18,86.87,103.63,97.95,60.57,60.31,65.85,89.26
MT-CONFRESA,CENTRO-OESTE,MT,CONFRESA,2018,JAIR MESSIAS BOLSONARO,12353,8181,2022,JAIR MESSIAS BOLSONARO,15782,10371,510335,62.18,152.47,130.35,132.2,138.12,110.15,81.57,71.01
MT-CONQUISTA D'OESTE,CENTRO-OESTE,MT,CONQUISTA D'OESTE,2018,JAIR MESSIAS BOLSONARO,1848,1307,2022,JAIR MESSIAS BOLSONARO,2117,1442,510336,120.69,86.0,122.0,141.86,212.07,112.07,73.85,73.02
MT-COTRIGUACU,CENTRO-OESTE,MT,COTRIGUACU,2018,JAIR MESSIAS BOLSONARO,5456,3342,2022,JAIR MESSIAS BOLSONARO,6045,3995,510337,113.7,69.68,68.62,114.79,103.66,96.95,78.92,80.38
MT-CUIABA,CENTRO-OESTE,MT,CUIABA,2018,JAIR MESSIAS BOLSONARO,331758,222077,2022,JAIR MESSIAS BOLSONARO,348309,192100,510340,124.76,112.92,110.85,109.64,82.45,78.85,71.09,75.48
MT-CURVELANDIA,CENTRO-OESTE,MT,CURVELANDIA,2018,JAIR MESSIAS BOLSONARO,2740,1755,2022,JAIR MESSIAS BOLSONARO,3305,1934,510343,84.13,77.05,126.23,109.52,110.77,129.23,107.25,105.97
MT-DENISE,CENTRO-OESTE,MT,DENISE,2018,JAIR MESSIAS BOLSONARO,3785,2144,2022,JAIR MESSIAS BOLSONARO,4409,2243,510345,138.55,83.33,14.58,111.76,85.0,82.0,57.65,115.31
MT-DIAMANTINO,CENTRO-OESTE,MT,DIAMANTINO,2018,JAIR MESSIAS BOLSONARO,10671,6984,2022,JAIR MESSIAS BOLSONARO,12161,7126,510350,105.05,105.54,68.31,49.44,69.36,90.93,50.97,78.87
MT-DOM AQUINO,CENTRO-OESTE,MT,DOM AQUINO,2018,JAIR MESSIAS BOLSONARO,4246,2586,2022,JAIR MESSIAS BOLSONARO,4719,2430,510360,98.81,93.9,82.93,79.22,60.0,48.24,43.37,105.19
MT-FELIZ NATAL,CENTRO-OESTE,MT,FELIZ NATAL,2018,JAIR MESSIAS BOLSONARO,4011,2536,2022,JAIR MESSIAS BOLSONARO,4508,2815,510370,150.51,157.93,98.17,97.21,97.91,107.85,45.45,107.73
MT-FIGUEIROPOLIS D'OESTE,CENTRO-OESTE,MT,FIGUEIROPOLIS D'OESTE,2018,JAIR MESSIAS BOLSONARO,2022,1581,2022,JAIR MESSIAS BOLSONARO,2116,1512,510380,122.22,80.0,95.56,112.2,76.09,4.35,7.69,54.55
MT-GAUCHA DO NORTE,CENTRO-OESTE,MT,GAUCHA DO NORTE,2018,JAIR MESSIAS BOLSONARO,3267,2173,2022,JAIR MESSIAS BOLSONARO,3922,2568,510385,93.18,77.3,75.18,59.35,67.09,63.29,66.88,82.39
MT-GENERAL CARNEIRO,CENTRO-OESTE,MT,GENERAL CARNEIRO,2018,FERNANDO HADDAD,2615,1656,2022,LUIZ INÁCIO LULA DA SILVA,3048,1496,510390,103.85,104.5,106.31,96.75,65.38,48.08,32.2,62.99
MT-GLORIA D'OESTE,CENTRO-OESTE,MT,GLORIA D'OESTE,2018,JAIR MESSIAS BOLSONARO,1783,1159,2022,JAIR MESSIAS BOLSONARO,1982,1250,510395,102.94,100.0,96.55,85.71,78.05,73.17,23.33,81.48
MT-GUARANTA DO NORTE,CENTRO-OESTE,MT,GUARANTA DO NORTE,2018,JAIR MESSIAS BOLSONARO,14191,11228,2022,JAIR MESSIAS BOLSONARO,15986,12410,510410,101.65,96.76,105.58,106.95,86.57,103.36,101.32,92.8
MT-GUIRATINGA,CENTRO-OESTE,MT,GUIRATINGA,2018,JAIR MESSIAS BOLSONARO,5527,3162,2022,JAIR MESSIAS BOLSONARO,6254,3019,510420,90.84,86.61,102.68,98.11,92.11,73.68,47.37,110.31
MT-INDIAVAI,CENTRO-OESTE,MT,INDIAVAI,2018,JAIR MESSIAS BOLSONARO,1329,824,2022,JAIR MESSIAS BOLSONARO,1488,795,510450,63.41,61.54,82.05,86.67,105.41,67.57,19.15,225.0
MT-IPIRANGA DO NORTE,CENTRO-OESTE,MT,IPIRANGA DO NORTE,2018,JAIR MESSIAS BOLSONARO,2871,2230,2022,JAIR MESSIAS BOLSONARO,3632,2549,510452,121.52,76.92,94.23,105.21,81.82,120.91,103.31,101.57
MT-ITANHANGA,CENTRO-OESTE,MT,ITANHANGA,2018,JAIR MESSIAS BOLSONARO,2965,2364,2022,JAIR MESSIAS BOLSONARO,3797,2922,510454,195.95,174.77,183.18,136.05,116.05,129.63,127.17,137.5
MT-ITAUBA,CENTRO-OESTE,MT,ITAUBA,2018,JAIR MESSIAS BOLSONARO,2595,1724,2022,JAIR MESSIAS BOLSONARO,2918,1846,510455,72.84,117.74,137.1,142.05,116.18,100.0,87.91,114.08
MT-ITIQUIRA,CENTRO-OESTE,MT,ITIQUIRA,2018,JAIR MESSIAS BOLSONARO,5670,3666,2022,JAIR MESSIAS BOLSONARO,6470,3572,510460,87.43,88.37,135.47,105.95,100.0,44.83,25.63,72.02
MT-JACIARA,CENTRO-OESTE,MT,JACIARA,2018,JAIR MESSIAS BOLSONARO,14288,9854,2022,JAIR MESSIAS BOLSONARO,15195,9593,510480,83.62,73.74,84.44,96.99,90.46,107.68,83.56,84.1
MT-JANGADA,CENTRO-OESTE,MT,JANGADA,2018,FERNANDO HADDAD,4679,2830,2022,LUIZ INÁCIO LULA DA SILVA,5468,3230,510490,76.09,76.77,34.34,115.69,84.35,40.87,55.34,98.1
MT-JAURU,CENTRO-OESTE,MT,JAURU,2018,JAIR MESSIAS BOLSONARO,5025,3683,2022,JAIR MESSIAS BOLSONARO,4913,3282,510500,141.06,15.13,114.29,73.08,96.9,111.63,94.53,109.09
MT-JUARA,CENTRO-OESTE,MT,JUARA,2018,JAIR MESSIAS BOLSONARO,15261,11471,2022,JAIR MESSIAS BOLSONARO,17277,12362,510510,107.38,132.1,85.38,177.16,124.96,70.6,79.56,100.55
MT-JUINA,CENTRO-OESTE,MT,JUINA,2018,JAIR MESSIAS BOLSONARO,20917,14479,2022,JAIR MESSIAS BOLSONARO,23311,15291,510515,136.7,103.2,127.91,138.55,107.16,113.92,108.24,130.15
MT-JURUENA,CENTRO-OESTE,MT,JURUENA,2018,JAIR MESSIAS BOLSONARO,3882,2555,2022,JAIR MESSIAS BOLSONARO,4453,3019,510517,141.67,90.86,118.82,128.08,151.16,106.2,60.93,105.66
MT-JUSCIMEIRA,CENTRO-OESTE,MT,JUSCIMEIRA,2018,JAIR MESSIAS BOLSONARO,6023,3685,2022,JAIR MESSIAS BOLSONARO,6712,3667,510520,119.15,58.39,80.12,92.75,124.62,92.31,68.42,99.3
MT-LAMBARI D'OESTE,CENTRO-OESTE,MT,LAMBARI D'OESTE,2018,JAIR MESSIAS BOLSONARO,2891,1535,2022,JAIR MESSIAS BOLSONARO,3068,1478,510523,83.75,122.22,148.15,125.0,85.33,34.67,14.67,98.65
MT-LUCAS DO RIO VERDE,CENTRO-OESTE,MT,LUCAS DO RIO VERDE,2018,JAIR MESSIAS BOLSONARO,30300,22894,2022,JAIR MESSIAS BOLSONARO,36336,25571,510525,175.95,90.07,137.7,149.31,114.06,94.84,63.28,97.8
MT-LUCIARA,CENTRO-OESTE,MT,LUCIARA,2018,JAIR MESSIAS BOLSONARO,1332,745,2022,JAIR MESSIAS BOLSONARO,1652,836,510530,88.24,223.81,166.67,111.11,53.33,83.33,140.91,132.35
MT-MARCELANDIA,CENTRO-OESTE,MT,MARCELANDIA,2018,JAIR MESSIAS BOLSONARO,5766,4181,2022,JAIR MESSIAS BOLSONARO,6073,4487,510558,98.97,81.87,82.9,75.39,103.54,98.48,78.31,98.62
MT-MATUPA,CENTRO-OESTE,MT,MATUPA,2018,JAIR MESSIAS BOLSONARO,7823,5509,2022,JAIR MESSIAS BOLSONARO,9572,6661,510560,101.75,100.0,142.35,93.33,103.81,58.1,42.7,89.97
MT-MIRASSOL D'OESTE,CENTRO-OESTE,MT,MIRASSOL D'OESTE,2018,JAIR MESSIAS BOLSONARO,12793,8784,2022,JAIR MESSIAS BOLSONARO,14195,9085,510562,112.28,88.06,80.33,92.15,112.25,99.75,69.16,89.81
MT-NOBRES,CENTRO-OESTE,MT,NOBRES,2018,JAIR MESSIAS BOLSONARO,7941,5274,2022,JAIR MESSIAS BOLSONARO,8964,5659,510590,104.53,136.29,87.1,107.59,73.78,66.67,53.79,73.93
MT-NORTELANDIA,CENTRO-OESTE,MT,NORTELANDIA,2018,JAIR MESSIAS BOLSONARO,3286,1770,2022,LUIZ INÁCIO LULA DA SILVA,3618,1775,510600,130.77,89.72,79.44,86.17,79.8,54.55,26.21,90.28
MT-NOSSA SENHORA DO LIVRAMENTO,CENTRO-OESTE,MT,NOSSA SENHORA DO LIVRAMENTO,2018,FERNANDO HADDAD,8009,5290,2022,LUIZ INÁCIO LULA DA SILVA,9637,6339,510610,44.08,43.09,44.72,82.81,105.07,91.3,68.63,100.0
MT-NOVA BANDEIRANTES,CENTRO-OESTE,MT,NOVA BANDEIRANTES,2018,JAIR MESSIAS BOLSONARO,5699,4318,2022,JAIR MESSIAS BOLSONARO,6471,4958,510615,81.7,40.38,116.67,103.4,100.0,91.77,80.85,131.98
MT-NOVA BRASILANDIA,CENTRO-OESTE,MT,NOVA BRASILANDIA,2018,FERNANDO HADDAD,2348,1266,2022,LUIZ INÁCIO LULA DA SILVA,2712,1346,510620,89.09,110.42,70.83,261.54,111.9,80.95,93.62,128.95
MT-NOVA CANAA DO NORTE,CENTRO-OESTE,MT,NOVA CANAA DO NORTE,2018,JAIR MESSIAS BOLSONARO,6761,4883,2022,JAIR MESSIAS BOLSONARO,7040,4769,510621,102.22,61.71,69.14,96.27,51.97,24.34,34.43,98.91
MT-NOVA GUARITA,CENTRO-OESTE,MT,NOVA GUARITA,2018,JAIR MESSIAS BOLSONARO,2614,1571,2022,JAIR MESSIAS BOLSONARO,2814,1706,510880,98.57,38.24,79.41,89.71,89.23,93.85,93.06,111.11
MT-NOVA LACERDA,CENTRO-OESTE,MT,NOVA LACERDA,2018,JAIR MESSIAS BOLSONARO,2748,1667,2022,JAIR MESSIAS BOLSONARO,3053,1760,510618,103.95,147.95,132.88,128.33,80.85,124.47,63.95,101.04
MT-NOVA MARILANDIA,CENTRO-OESTE,MT,NOVA MARILANDIA,2018,JAIR MESSIAS BOLSONARO,1663,1088,2022,JAIR MESSIAS BOLSONARO,2006,1116,510885,74.0,94.44,96.3,127.59,90.0,44.0,80.0,190.91
MT-NOVA MARINGA,CENTRO-OESTE,MT,NOVA MARINGA,2018,JAIR MESSIAS BOLSONARO,2506,1780,2022,JAIR MESSIAS BOLSONARO,2975,2012,510890,94.12,82.35,45.1,66.27,65.06,42.17,48.65,108.7
MT-NOVA MONTE VERDE,CENTRO-OESTE,MT,NOVA MONTE VERDE,2018,JAIR MESSIAS BOLSONARO,3785,2644,2022,JAIR MESSIAS BOLSONARO,4331,2925,510895,188.89,57.02,71.05,106.06,56.56,54.1,41.53,92.23
MT-NOVA MUTUM,CENTRO-OESTE,MT,NOVA MUTUM,2018,JAIR MESSIAS BOLSONARO,19886,15291,2022,JAIR MESSIAS BOLSONARO,24316,17140,510622,122.34,114.42,112.45,101.05,89.47,125.53,97.08,105.66
MT-NOVA NAZARE,CENTRO-OESTE,MT,NOVA NAZARE,2018,FERNANDO HADDAD,1477,757,2022,JAIR MESSIAS BOLSONARO,1718,894,510617,16.39,189.19,237.84,91.18,74.26,20.79,19.0,37.25
MT-NOVA OLIMPIA,CENTRO-OESTE,MT,NOVA OLIMPIA,2018,JAIR MESSIAS BOLSONARO,7810,3948,2022,LUIZ INÁCIO LULA DA SILVA,9030,4680,510623,118.42,143.36,109.79,76.74,65.37,55.83,68.3,76.83
MT-NOVA SANTA HELENA,CENTRO-OESTE,MT,NOVA SANTA HELENA,2018,JAIR MESSIAS BOLSONARO,1902,1307,2022,JAIR MESSIAS BOLSONARO,2204,1499,510619,78.12,80.77,107.69,128.26,86.0,66.0,90.16,133.33
MT-NOVA UBIRATA,CENTRO-OESTE,MT,NOVA UBIRATA,2018,JAIR MESSIAS BOLSONARO,4091,2824,2022,JAIR MESSIAS BOLSONARO,5515,3554,510624,72.92,189.39,196.21,125.64,82.54,55.56,83.67,129.63
MT-NOVA XAVANTINA,CENTRO-OESTE,MT,NOVA XAVANTINA,2018,JAIR MESSIAS BOLSONARO,9559,6544,2022,JAIR MESSIAS BOLSONARO,11046,7099,510625,30.43,86.21,66.38,97.81,102.95,107.75,87.61,123.53
MT-NOVO HORIZONTE DO NORTE,CENTRO-OESTE,MT,NOVO HORIZONTE DO NORTE,2018,JAIR MESSIAS BOLSONARO,2167,1420,2022,JAIR MESSIAS BOLSONARO,2263,1384,510627,185.0,67.8,100.0,120.59,72.88,55.93,93.62,136.36
MT-NOVO MUNDO,CENTRO-OESTE,MT,NOVO MUNDO,2018,JAIR MESSIAS BOLSONARO,3382,2229,2022,JAIR MESSIAS BOLSONARO,3793,2557,510626,106.33,124.42,132.56,88.17,91.59,78.5,81.82,96.15
MT-NOVO SANTO ANTONIO,CENTRO-OESTE,MT,NOVO SANTO ANTONIO,2018,JAIR MESSIAS BOLSONARO,1010,514,2022,JAIR MESSIAS BOLSONARO,1273,723,510631,88.89,145.45,127.27,69.57,84.62,80.77,89.66,142.86
MT-NOVO SAO JOAQUIM,CENTRO-OESTE,MT,NOVO SAO JOAQUIM,2018,JAIR MESSIAS BOLSONARO,3113,2085,2022,JAIR MESSIAS BOLSONARO,3839,2463,510628,69.79,66.0,90.0,135.29,118.6,91.86,55.24,110.58
MT-PARANAITA,CENTRO-OESTE,MT,PARANAITA,2018,JAIR MESSIAS BOLSONARO,5840,3979,2022,JAIR MESSIAS BOLSONARO,6732,4330,510629,124.36,49.07,40.99,111.29,90.21,81.96,76.74,80.32
MT-PARANATINGA,CENTRO-OESTE,MT,PARANATINGA,2018,JAIR MESSIAS BOLSONARO,9515,6686,2022,JAIR MESSIAS BOLSONARO,10978,7166,510630,96.64,91.69,118.29,162.54,136.6,134.22,117.98,130.33
MT-PEDRA PRETA,CENTRO-OESTE,MT,PEDRA PRETA,2018,JAIR MESSIAS BOLSONARO,8581,4979,2022,JAIR MESSIAS BOLSONARO,10336,5304,510637,77.27,44.19,58.05,63.7,61.74,36.74,22.31,19.83
MT-PEIXOTO DE AZEVEDO,CENTRO-OESTE,MT,PEIXOTO DE AZEVEDO,2018,JAIR MESSIAS BOLSONARO,13350,7067,2022,JAIR MESSIAS BOLSONARO,16363,8720,510642,85.92,94.55,132.67,40.2,59.33,70.18,79.38,100.82
MT-PLANALTO DA SERRA,CENTRO-OESTE,MT,PLANALTO DA SERRA,2018,FERNANDO HADDAD,2014,1025,2022,LUIZ INÁCIO LULA DA SILVA,1985,992,510645,208.0,166.67,186.67,105.88,126.83,60.98,68.75,191.67
MT-POCONE,CENTRO-OESTE,MT,POCONE,2018,FERNANDO HADDAD,16425,10374,2022,LUIZ INÁCIO LULA DA SILVA,17805,11240,510650,69.7,51.71,40.68,105.38,55.63,21.0,52.62,136.44
MT-PONTAL DO ARAGUAIA,CENTRO-OESTE,MT,PONTAL DO ARAGUAIA,2018,JAIR MESSIAS BOLSONARO,3466,2116,2022,JAIR MESSIAS BOLSONARO,3721,1962,510665,57.97,72.46,86.96,110.0,59.52,65.48,102.3,101.23
MT-PONTE BRANCA,CENTRO-OESTE,MT,PONTE BRANCA,2018,FERNANDO HADDAD,1214,763,2022,LUIZ INÁCIO LULA DA SILVA,1432,843,510670,55.0,83.33,127.78,128.57,100.0,77.78,100.0,143.75
MT-PONTES E LACERDA,CENTRO-OESTE,MT,PONTES E LACERDA,2018,JAIR MESSIAS BOLSONARO,20870,16121,2022,JAIR MESSIAS BOLSONARO,22742,16094,510675,107.32,88.14,92.34,103.09,90.53,80.47,93.45,92.78
MT-PORTO ALEGRE DO NORTE,CENTRO-OESTE,MT,PORTO ALEGRE DO NORTE,2018,JAIR MESSIAS BOLSONARO,4507,2719,2022,JAIR MESSIAS BOLSONARO,5575,3165,510677,61.36,65.57,96.72,126.14,114.66,31.9,40.79,120.48
MT-PORTO DOS GAUCHOS,CENTRO-OESTE,MT,PORTO DOS GAUCHOS,2018,JAIR MESSIAS BOLSONARO,2656,1843,2022,JAIR MESSIAS BOLSONARO,2943,2049,510680,98.84,59.55,84.27,110.81,113.33,128.0,82.05,100.0
MT-PORTO ESPERIDIAO,CENTRO-OESTE,MT,PORTO ESPERIDIAO,2018,JAIR MESSIAS BOLSONARO,5041,2722,2022,JAIR MESSIAS BOLSONARO,5448,2779,510682,99.46,85.56,101.11,85.03,83.5,79.5,91.72,150.98
MT-PORTO ESTRELA,CENTRO-OESTE,MT,PORTO ESTRELA,2018,FERNANDO HADDAD,2154,1456,2022,LUIZ INÁCIO LULA DA SILVA,2351,1467,510685,119.15,123.53,61.76,155.56,26.47,8.82,5.13,89.47
MT-POXOREU,CENTRO-OESTE,MT,POXOREU,2018,FERNANDO HADDAD,8004,4094,2022,LUIZ INÁCIO LULA DA SILVA,9693,4579,510700,80.49,67.06,85.32,88.5,85.31,75.51,37.64,98.45
MT-PRIMAVERA DO LESTE,CENTRO-OESTE,MT,PRIMAVERA DO LESTE,2018,JAIR MESSIAS BOLSONARO,31784,24938,2022,JAIR MESSIAS BOLSONARO,38037,27127,510704,106.42,102.58,101.33,110.89,109.91,87.71,95.21,108.33
MT-QUERENCIA,CENTRO-OESTE,MT,QUERENCIA,2018,JAIR MESSIAS BOLSONARO,7919,5965,2022,JAIR MESSIAS BOLSONARO,10581,7473,510706,126.53,104.11,106.45,108.24,122.31,117.36,93.7,125.77
MT-RESERVA DO CABACAL,CENTRO-OESTE,MT,RESERVA DO CABACAL,2018,JAIR MESSIAS BOLSONARO,1256,735,2022,JAIR MESSIAS BOLSONARO,1347,689,510715,160.0,60.0,88.57,223.53,70.97,29.03,95.65,129.41
MT-RIBEIRAO CASCALHEIRA,CENTRO-OESTE,MT,RIBEIRAO CASCALHEIRA,2018,JAIR MESSIAS BOLSONARO,4180,2735,2022,JAIR MESSIAS BOLSONARO,5046,3157,510718,81.6,59.04,67.55,114.29,96.05,54.8,61.71,80.7
MT-RIBEIRAOZINHO,CENTRO-OESTE,MT,RIBEIRAOZINHO,2018,JAIR MESSIAS BOLSONARO,1333,683,2022,JAIR MESSIAS BOLSONARO,1650,771,510719,93.02,156.0,128.0,110.71,80.0,88.57,75.76,57.14
MT-RIO BRANCO,CENTRO-OESTE,MT,RIO BRANCO,2018,JAIR MESSIAS BOLSONARO,2723,1639,2022,JAIR MESSIAS BOLSONARO,2923,1523,510720,153.73,85.29,120.59,152.73,116.87,93.98,50.0,110.0
MT-RONDOLANDIA,CENTRO-OESTE,MT,RONDOLANDIA,2018,FERNANDO HADDAD,1504,824,2022,JAIR MESSIAS BOLSONARO,1882,968,510757,25.71,28.57,31.43,32.65,51.52,66.67,108.0,62.86
MT-RONDONOPOLIS,CENTRO-OESTE,MT,RONDONOPOLIS,2018,JAIR MESSIAS BOLSONARO,108013,74166,2022,JAIR MESSIAS BOLSONARO,125214,74582,510760,111.41,104.33,100.94,105.8,94.5,58.15,103.01,113.38
MT-ROSARIO OESTE,CENTRO-OESTE,MT,ROSARIO OESTE,2018,FERNANDO HADDAD,8458,4417,2022,LUIZ INÁCIO LULA DA SILVA,9550,4949,510770,71.81,59.04,46.28,90.42,94.57,33.7,49.75,118.29
