,Ano de eleição,Cargo,Código município,Município,Região,UF,Turno,Nome candidato,Votos válidos,Votos nominais,Estado_Municipio
33258,2022,Presidente,2291,EIRUNEPE,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,14068,10000,AM-EIRUNEPE
62765,2022,Presidente,2313,ENVIRA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,7293,5052,AM-ENVIRA
39216,2022,Presidente,2330,FONTE BOA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,11424,8484,AM-FONTE BOA
55310,2022,Presidente,2020,GUAJARA,NORTE,AM,1,JAIR MESSIAS BOLSONARO,7760,4154,AM-GUAJARA
25927,2022,Presidente,2356,HUMAITA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,23945,12604,AM-HUMAITA
58812,2022,Presidente,2399,IPIXUNA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,7437,4784,AM-IPIXUNA
53186,2022,Presidente,98353,IRANDUBA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,30167,16381,AM-IRANDUBA
914,2022,Presidente,2410,ITACOATIARA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,53963,33435,AM-ITACOATIARA
51014,2022,Presidente,98370,ITAMARATI,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,4956,3609,AM-ITAMARATI
35475,2022,Presidente,2437,ITAPIRANGA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,6360,3679,AM-ITAPIRANGA
43962,2022,Presidente,2453,JAPURA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,3322,1872,AM-JAPURA
55673,2022,Presidente,2470,JURUA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,5145,3019,AM-JURUA
34269,2022,Presidente,2496,JUTAI,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,9225,6454,AM-JUTAI
57403,2022,Presidente,2518,LABREA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,18813,12010,AM-LABREA
58752,2022,Presidente,2534,MANACAPURU,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,56436,30532,AM-MANACAPURU
54305,2022,Presidente,98396,MANAQUIRI,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,10737,7207,AM-MANAQUIRI
39796,2022,Presidente,2550,MANAUS,NORTE,AM,1,JAIR MESSIAS BOLSONARO,1163097,622846,AM-MANAUS
880,2022,Presidente,2577,MANICORE,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,24220,15479,AM-MANICORE
29098,2022,Presidente,2593,MARAA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,5972,4184,AM-MARAA
17995,2022,Presidente,2615,MAUES,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,26857,22284,AM-MAUES
57734,2022,Presidente,2631,NHAMUNDA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,11010,9242,AM-NHAMUNDA
24481,2022,Presidente,2658,NOVA OLINDA DO NORTE,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,14063,10813,AM-NOVA OLINDA DO NORTE
21551,2022,Presidente,2011,NOVO AIRAO,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,8709,4505,AM-NOVO AIRAO
50466,2022,Presidente,2674,NOVO ARIPUANA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,9218,6804,AM-NOVO ARIPUANA
26460,2022,Presidente,2690,PARINTINS,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,54336,43220,AM-PARINTINS
18764,2022,Presidente,2712,PAUINI,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,7576,5206,AM-PAUINI
55653,2022,Presidente,98418,PRESIDENTE FIGUEIREDO,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,18104,9350,AM-PRESIDENTE FIGUEIREDO
9687,2022,Presidente,98434,RIO PRETO DA EVA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,14079,7313,AM-RIO PRETO DA EVA
42056,2022,Presidente,2372,SANTA ISABEL DO RIO NEGRO,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,5388,3824,AM-SANTA ISABEL DO RIO NEGRO
41497,2022,Presidente,2739,SANTO ANTONIO DO ICA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,12459,8905,AM-SANTO ANTONIO DO ICA
1086,2022,Presidente,2771,SILVES,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,6448,5151,AM-SILVES
40176,2022,Presidente,2836,SAO GABRIEL DA CACHOEIRA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,21310,16860,AM-SAO GABRIEL DA CACHOEIRA
45428,2022,Presidente,2755,SAO PAULO DE OLIVENCA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,14582,11870,AM-SAO PAULO DE OLIVENCA
40770,2022,Presidente,98450,SAO SEBASTIAO DO UATUMA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,5512,2834,AM-SAO SEBASTIAO DO UATUMA
57246,2022,Presidente,98477,TABATINGA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,26853,17437,AM-TABATINGA
56729,2022,Presidente,2798,TAPAUA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,9487,4747,AM-TAPAUA
40654,2022,Presidente,2810,TEFE,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,33205,20784,AM-TEFE
26096,2022,Presidente,98515,TONANTINS,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,7932,6363,AM-TONANTINS
4206,2022,Presidente,98493,UARINI,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,6592,4335,AM-UARINI
