,Ano de eleição,Município,UF,Região,Turno,Nome candidato,Cargo,Votos válidos,Votos nominais,Estado_Municipio
13797,2018,BELEM,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,3195,2511,AL-BELEM
7812,2018,BOCA DA MATA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,12309,7788,AL-BOCA DA MATA
16484,2018,BRANQUINHA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,4916,3756,AL-BRANQUINHA
14038,2018,CACIMBINHAS,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,5291,4166,AL-CACIMBINHAS
5102,2018,CAJUEIRO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,9032,6380,AL-CAJUEIRO
6039,2018,CAMPESTRE,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,3339,2594,AL-CAMPESTRE
12934,2018,CAMPO ALEGRE,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,15765,11526,AL-CAMPO ALEGRE
9749,2018,CAMPO GRANDE,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,5865,5022,AL-CAMPO GRANDE
10704,2018,CANAPI,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,8523,7618,AL-CANAPI
3370,2018,CAPELA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,8414,5192,AL-CAPELA
7138,2018,CARNEIROS,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,4420,3873,AL-CARNEIROS
14762,2018,CHA PRETA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,3782,2994,AL-CHA PRETA
6320,2018,COITE DO NOIA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,5974,5010,AL-COITE DO NOIA
13887,2018,COLONIA LEOPOLDINA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,9141,5582,AL-COLONIA LEOPOLDINA
15406,2018,COQUEIRO SECO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,3281,2016,AL-COQUEIRO SECO
16176,2018,CORURIPE,AL,NORDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,24917,13819,AL-CORURIPE
4438,2018,CRAIBAS,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,13299,11200,AL-CRAIBAS
9161,2018,DELMIRO GOUVEIA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,26532,22523,AL-DELMIRO GOUVEIA
4220,2018,DOIS RIACHOS,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,5516,4444,AL-DOIS RIACHOS
12390,2018,ESTRELA DE ALAGOAS,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,7634,6783,AL-ESTRELA DE ALAGOAS
9802,2018,FEIRA GRANDE,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,12556,10412,AL-FEIRA GRANDE
11181,2018,FELIZ DESERTO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,2106,1417,AL-FELIZ DESERTO
2106,2018,FLEXEIRAS,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,5306,2780,AL-FLEXEIRAS
10334,2018,GIRAU DO PONCIANO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,18236,15898,AL-GIRAU DO PONCIANO
922,2018,IBATEGUARA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,7329,4865,AL-IBATEGUARA
17042,2018,IGACI,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,13012,11111,AL-IGACI
9298,2018,IGREJA NOVA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,11837,9410,AL-IGREJA NOVA
6307,2018,INHAPI,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,8020,7102,AL-INHAPI
16038,2018,JACARE DOS HOMENS,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,3415,2981,AL-JACARE DOS HOMENS
341,2018,JACUIPE,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,3451,2736,AL-JACUIPE
1748,2018,JAPARATINGA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,4028,2066,AL-JAPARATINGA
7532,2018,JARAMATAIA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,3268,2806,AL-JARAMATAIA
15138,2018,JEQUIA DA PRAIA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,4823,2639,AL-JEQUIA DA PRAIA
7708,2018,JOAQUIM GOMES,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,9088,6950,AL-JOAQUIM GOMES
2384,2018,JUNDIA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,2402,1547,AL-JUNDIA
3590,2018,JUNQUEIRO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,12582,8973,AL-JUNQUEIRO
4490,2018,LAGOA DA CANOA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,10519,8222,AL-LAGOA DA CANOA
519,2018,LIMOEIRO DE ANADIA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,12333,9971,AL-LIMOEIRO DE ANADIA
15628,2018,MACEIO,AL,NORDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,434865,268027,AL-MACEIO
8742,2018,MAJOR ISIDORO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,9643,7264,AL-MAJOR ISIDORO
6673,2018,MAR VERMELHO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,2351,1788,AL-MAR VERMELHO
14286,2018,MARAGOGI,AL,NORDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,13727,7462,AL-MARAGOGI
15736,2018,MARAVILHA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,5151,4341,AL-MARAVILHA
1202,2018,MARECHAL DEODORO,AL,NORDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,24720,14007,AL-MARECHAL DEODORO
4027,2018,MARIBONDO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,6684,4667,AL-MARIBONDO
15378,2018,MATA GRANDE,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,11095,9558,AL-MATA GRANDE
